ID,Toques,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Regates intentados,Regates completados,Porcent_regates,Defensa al regate,Porcent_defensa al regate,Conducciones,Distancia total conducciones,Distancia traslado progresivo,Distancia traslado progresivo,Conducciones ultimo 1/3,Conducciones al area,Error control,Perdida balon,Pases recibidos,Pases progresivos recibidos
448,53,5,12,20,21,10,53,0,0,"0,00%",0,"0,00%",28,135,75,3,4,1,3,1,40,11
449,120,3,19,59,42,7,120,9,2,"22,22%",6,"66,67%",95,493,279,6,5,4,2,3,91,13
450,337,20,114,194,32,0,337,3,2,"66,67%",0,"0,00%",211,1026,531,6,7,0,0,1,213,0
451,490,22,124,243,129,16,490,12,6,"50,00%",4,"33,33%",267,1209,600,18,14,3,16,9,297,25
452,79,8,19,38,24,7,79,0,0,"0,00%",0,"0,00%",46,134,40,1,1,1,8,5,56,14
453,653,16,125,344,187,12,652,18,10,"55,56%",7,"38,89%",444,2244,955,15,16,4,7,7,543,26
454,268,10,51,177,45,5,268,10,2,"20,00%",7,"70,00%",198,1162,436,5,9,0,6,4,197,13
455,172,3,17,91,70,25,172,17,11,"64,71%",3,"17,65%",115,626,178,6,4,2,13,11,126,24
456,219,13,66,100,55,4,219,6,3,"50,00%",3,"50,00%",166,1107,636,20,13,1,9,4,165,21
457,395,7,91,154,150,7,395,4,2,"50,00%",2,"50,00%",269,1304,554,12,12,0,4,2,288,59
458,164,11,58,69,37,2,164,1,1,"100,00%",0,"0,00%",87,319,200,3,3,0,4,2,103,19
459,151,4,16,67,68,6,151,0,0,"0,00%",0,"0,00%",117,498,179,1,5,0,3,2,119,15
460,79,5,6,33,40,10,79,1,0,"0,00%",1,"100,00%",55,339,106,2,4,2,4,5,61,17
461,117,18,59,56,3,0,117,1,0,"0,00%",1,"100,00%",78,342,189,0,0,0,0,0,86,1
462,92,3,7,41,44,8,92,2,0,"0,00%",2,"100,00%",48,194,39,2,4,2,7,6,71,15
463,181,7,49,110,23,4,181,3,0,"0,00%",3,"100,00%",108,492,225,4,2,0,4,4,118,2
464,203,13,49,89,66,10,203,13,4,"30,77%",6,"46,15%",96,534,264,10,4,1,12,7,121,22
465,68,1,5,36,29,10,68,5,2,"40,00%",2,"40,00%",40,254,117,5,2,4,4,3,46,14
466,347,3,32,176,142,21,347,16,5,"31,25%",9,"56,25%",225,972,392,8,8,3,11,3,240,41
467,80,0,7,37,37,6,80,8,2,"25,00%",5,"62,50%",45,322,134,5,4,1,9,1,59,13
468,39,1,7,8,25,6,39,6,3,"50,00%",2,"33,33%",27,208,84,2,3,2,3,1,30,7
469,225,9,46,97,88,16,225,34,10,"29,41%",18,"52,94%",154,1402,786,25,21,8,16,19,163,30
470,15,0,1,8,7,4,15,5,4,"80,00%",0,"0,00%",9,122,101,2,1,2,4,0,10,3
471,60,5,17,17,26,6,60,0,0,"0,00%",0,"0,00%",43,223,79,2,2,2,2,0,41,15
472,197,4,25,91,82,22,197,0,0,"0,00%",0,"0,00%",120,439,191,6,4,1,3,6,148,26
473,65,1,1,34,31,10,65,3,2,"66,67%",1,"33,33%",34,144,88,4,3,2,8,1,52,12
474,297,1,31,124,148,34,297,43,24,"55,81%",14,"32,56%",209,1407,699,19,19,6,13,19,220,32
