ID,Jugador,Pais,Equipo,Posicion,Edad,Nacimiento,Partidos_jugados,Partidos_titular,Minutos_totales,90s,Tarjetas_amarillas,Tarjetas_rojas,Segundas_tarjetas_amarillas,Faltas_comprometidas,Faltas_pitadas,Fuera_de_juego
605,Ryan Sessegnon,ENG,Tottenham ,"MF,DF",22,2000,3,2,155,"1,72",1,0,0,6,3,2
606,Maryan Shved,UA,Shakhtar ,MF,25,1997,3,3,187,"2,08",0,0,0,4,2,0
607,Danylo Sikan,UA,Shakhtar ,FW,21,2001,4,0,104,"1,16",1,0,0,4,1,0
608,André Silva,DE,RB Leipzig,FW,26,1995,8,6,533,"5,92",0,0,0,6,6,6
609,António Silva,PT,Benfica ,DF,18,2003,10,10,894,"9,93",1,0,0,6,2,0
610,Bernardo Silva,ENG,Manchester City,"FW,MF",27,1994,13,9,911,"10,12",2,0,0,19,13,1
611,Rafa Silva,PT,Benfica ,MF,29,1993,10,10,819,"9,10",1,0,0,3,19,3
612,Thiago Silva,ENG,Chelsea ,DF,37,1984,8,7,640,"7,11",2,0,0,5,6,0
613,Mohamed Simakan,DE,RB Leipzig,DF,22,2000,7,6,511,"5,68",1,0,0,6,16,0
614,Giovanni Simeone,IT,Napoli ,FW,27,1995,7,2,263,"2,92",0,0,0,3,4,4
615,Roko Simic,AT,RB Salzburg,FW,18,2003,2,0,18,"0,20",0,0,0,2,0,0
616,Oliver Skipp,ENG,Tottenham ,MF,21,2000,4,2,211,"2,34",1,0,0,4,3,0
617,Leo Skiri Østigård,IT,Napoli ,DF,22,1999,3,2,197,"2,19",0,0,0,0,2,1
618,Andreas Skov Olsen,BE,Club Brugge,"FW,MF",22,1999,5,4,295,"3,28",0,0,0,0,3,2
619,Milan Škriniar,IT,Inter ,DF,27,1995,8,6,536,"5,96",0,0,0,6,2,0
620,Hrvoje Smolčić,DE,Eint Frankfurt,DF,21,2000,3,1,122,"1,36",2,0,0,4,0,0
621,Eduard Sobol,BE,Club Brugge,"FW,DF",27,1995,4,1,109,"1,21",1,0,0,1,0,1
622,Carlos Soler,FR,Paris S-G,MF,25,1997,6,2,155,"1,72",0,0,0,3,3,0
623,Oumar Solet,AT,RB Salzburg,DF,22,2000,4,4,266,"2,96",0,0,0,4,1,0
624,Yann Sommer,DE,Bayern Munich,GK,33,1988,4,4,360,"4,00",0,0,0,0,1,0
625,Matìas Soulé,IT,Juventus ,"MF,FW",19,2003,3,0,44,"0,49",0,0,0,0,3,0
626,Djibril Sow,DE,Eint Frankfurt,MF,25,1997,8,8,720,"8,00",1,0,0,8,14,0
627,Kamal Sowah,BE,Club Brugge,"FW,MF",22,2000,7,7,591,"6,57",4,1,1,4,3,3
628,Dario Špikić,HR,Dinamo Zagreb,"FW,DF",23,1999,6,1,167,"1,86",0,0,0,1,5,0
629,Jorne Spileers,BE,Club Brugge,DF,17,2005,1,0,2,"0,02",0,0,0,0,0,0
630,Jerry St. Juste,PT,Sporting CP,DF,25,1996,4,3,189,"2,10",1,0,0,4,5,0
631,Marko Stamenic,DK,FC Copenhagen,MF,20,2002,3,3,269,"2,99",3,0,0,9,1,0
632,Jindřich Staněk,CZ,Viktoria Plzeň,GK,26,1996,5,5,450,"5,00",0,0,0,0,0,0
633,Josip Stanišić,DE,Bayern Munich,DF,22,2000,8,3,349,"3,88",2,0,0,6,2,0
634,Carl Starfelt,SCT,Celtic ,DF,27,1995,1,1,90,"1,00",0,0,0,1,0,0
635,Orri Steinn Óskarsson,DK,FC Copenhagen,"MF,FW",17,2004,2,0,22,"0,24",0,0,0,1,0,0
636,Taras Stepanenko,UA,Shakhtar ,MF,32,1989,6,6,532,"5,91",1,0,0,6,2,0
637,Raheem Sterling,ENG,Chelsea ,"FW,MF",27,1994,9,8,630,"7,00",1,0,0,15,7,7
638,John Stones,ENG,Manchester City,"MF,DF",28,1994,8,8,684,"7,60",0,0,0,2,3,0
639,Luka Sučić,AT,RB Salzburg,MF,19,2002,5,5,398,"4,42",2,0,0,4,1,0
640,Heorhii Sudakov,UA,Shakhtar ,MF,19,2002,6,6,480,"5,33",0,0,0,3,5,0
641,Niklas Süle,DE,Dortmund ,DF,26,1995,8,7,675,"7,50",2,0,0,4,2,0
642,Daniel Sundgren,IL,Maccabi Haifa,DF,31,1990,4,4,324,"3,60",0,0,0,1,3,0
643,Suso,ES,Sevilla ,"FW,MF",28,1993,6,3,237,"2,63",0,0,0,2,6,1
644,Josip Šutalo,HR,Dinamo Zagreb,DF,22,2000,6,6,540,"6,00",0,0,0,2,4,0
645,Jan Sýkora,CZ,Viktoria Plzeň,"FW,DF",28,1993,2,2,148,"1,64",1,0,0,3,2,1
646,Abakar Sylla,BE,Club Brugge,DF,19,2002,6,6,492,"5,47",4,0,0,10,1,0
647,Wojciech Szczęsny,IT,Juventus ,GK,32,1990,4,4,360,"4,00",0,0,0,0,0,0
648,Dominik Szoboszlai,DE,RB Leipzig,FW,21,2000,8,8,653,"7,26",0,0,0,7,7,1
649,Christian Sørensen,DK,FC Copenhagen,"DF,MF",29,1992,5,1,102,"1,13",1,0,0,2,2,0
650,Dušan Tadić,NL,Ajax ,FW,33,1988,5,5,432,"4,80",2,1,1,9,6,2
651,Jonathan Tah,DE,Leverkusen ,DF,26,1996,6,5,481,"5,34",1,0,0,5,0,1
652,Japhet Tanganga,ENG,Tottenham ,DF,23,1999,1,0,18,"0,20",0,0,0,0,0,0
653,Edmond Tapsoba,DE,Leverkusen ,DF,23,1999,5,4,349,"3,88",0,0,0,3,2,0
654,Mehdi Taremi,PT,Porto ,FW,30,1992,7,7,611,"6,79",2,1,1,9,11,2
655,Ciprian Tătărușanu,IT,Milan ,GK,36,1986,5,5,450,"5,00",0,0,0,0,1,0
656,Nuno Tavares,FR,Marseille ,DF,22,2000,6,6,540,"6,00",1,0,0,5,14,5
657,James Tavernier,SCT,Rangers ,DF,30,1991,6,6,486,"5,40",1,0,0,5,1,0
658,Greg Taylor,SCT,Celtic ,DF,24,1997,6,6,540,"6,00",0,0,0,1,6,0
659,Kenneth Taylor,NL,Ajax ,MF,20,2002,6,5,417,"4,63",2,0,0,7,1,0
660,Lucas Taylor,UA,Shakhtar ,DF,27,1995,5,3,312,"3,47",1,0,0,5,4,0
